Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -9219101, -1675066, -44441228, 442605, -142464, -223290,20017, 
0x00000000, -9451640, -1919933, -44071532, 431060, -132094, -224009,20188, 
0x00000000, -9686031, -2178860, -43685592, 419385, -121395, -224165,20350, 
0x00000000, -9690668, -2127699, -43425616, 411093, -114187, -225904,20516, 
0x00000000, -9798806, -2298297, -43121276, 401810, -105787, -224897,20675, 
0x00000000, -10095169, -2617766, -42719388, 389410, -94335, -224959,20839, 
0x00000000, -10356666, -2965556, -42311976, 376901, -83272, -224298,21000, 
0x00000000, -10586930, -3290232, -41948224, 365588, -73129, -222521,21158, 
0x00000000, -10660239, -3371818, -41576904, 354128, -63025, -222834,21317, 
0x00000000, -10800806, -3564575, -41202696, 342567, -52454, -221913,21478, 
0x00000000, -10962759, -3826175, -40874072, 332076, -43151, -219959,21634, 
0x00000000, -11075475, -3940776, -40547556, 322038, -34011, -220539,21791, 
0x00000000, -11227980, -4155385, -40189328, 311129, -24173, -219891,21949, 
0x00000000, -11245966, -4225646, -39890872, 302172, -16282, -218203,22107, 
0x00000000, -11225834, -4185595, -39639124, 294370, -9185, -219272,22266, 
0x00000000, -11257739, -4227294, -39356664, 285693, -1340, -219092,22425, 
0x00000000, -11211007, -4225525, -39003216, 274906, 8144, -218153,22586, 
0x00000000, -11200037, -4132659, -38635728, 263633, 18460, -220639,22752, 
0x00000000, -11184999, -4045508, -38234876, 251475, 29117, -223037,22909, 
0x00000000, -11184956, -3988558, -37923292, 242026, 37640, -224479,23067, 
0x00000000, -11227161, -4040277, -37618624, 232380, 46379, -225082,23223, 
0x00000000, -11351281, -4188665, -37339148, 224003, 53922, -224979,23382, 
0x00000000, -11375613, -4200993, -37037892, 214833, 62343, -225458,23539, 
0x00000000, -11468862, -4368025, -36758460, 206129, 69740, -224090,23707, 
0x00000000, -11504109, -4408431, -36436524, 196640, 78446, -224244,23864, 
0x00000000, -11525861, -4460396, -36176288, 187964, 86141, -223676,24025, 
0x00000000, -11679393, -4606577, -35877744, 179403, 93863, -224665,24185, 
0x00000000, -11723186, -4580390, -35503276, 167845, 104325, -226978,24341, 
0x00000000, -11823805, -4646355, -35239400, 159693, 111430, -227965,24496, 
0x00000000, -11386680, -4201678, -35002124, 152506, 117136, -227467,24653, 
0x00000000, -11392157, -4231949, -34730152, 143882, 124920, -227313,24810, 
0x00000000, -11306229, -4160801, -34436580, 135618, 132237, -226587,24963, 
0x00000000, -11372920, -4191753, -34074072, 124132, 142043, -227700,25124, 
0x00000000, -11203007, -4137171, -33842228, 116509, 148538, -224299,25282, 
0x00000000, -11277755, -4279482, -33555264, 107617, 156261, -223476,25435, 
0x00000000, -11158334, -4237992, -33250088, 98612, 164297, -220540,25591, 
0x00000000, -11068672, -4372480, -33024444, 91462, 170483, -214283,25747, 
0x00000000, -10996254, -4350253, -32790990, 84478, 176860, -213230,25906, 
0x00000000, -10945519, -4386497, -32485812, 75311, 185321, -211110,26069, 
0x00000000, -10933200, -4419370, -32255790, 69174, 193866, -209383,26229, 
0x00000000, -10911883, -4437034, -32075544, 64000, 199770, -208169,26383, 
0x00000000, -10884414, -4450109, -31930380, 59082, 201690, -207895,26540, 
0x00000000, -10889011, -4456977, -31892436, 58183, 202044, -207314,26696, 
0x00000000, -10881575, -4457628, -31908344, 58060, 202011, -207354,26851, 
0x00000000, -10886135, -4459469, -31897284, 57947, 201924, -207634,27009, 
0x00000000, -10888986, -4459010, -31892564, 58110, 202052, -207491,27257, 
0x00000000, -10881523, -4446001, -31895928, 58228, 202141, -207506,27412, 
0x00000000, -10881133, -4459624, -31891888, 57996, 202060, -207348,27573, 
0x00000000, -10869788, -4451074, -31899756, 58186, 202008, -207250,27727, 
0x00000000, -10871144, -4446167, -31897832, 58352, 201908, -207353,27882, 
0x00000000, -10874019, -4454386, -31897628, 58386, 201894, -207295,28038, 
0x00000000, -10878530, -4443871, -31904868, 58293, 201958, -207269,28192, 
0x00000000, -10875713, -4458196, -31896248, 58222, 201923, -207448, 1645288661968, 
