, -395792
20680, -224722
20700, -224754
20710, -224782
20730, -224814
20750, -224843
20760, -224873
20780, -224903
20800, -224931
20810, -224962
20830, -224990
20850, -225021
20860, -225053
20880, -225081
20900, -225111
20910, -225139
20930, -225169
20950, -225199
20960, -225228
20980, -225260
21000, -225288
21010, -225318
21030, -225348
21050, -225377
21060, -225403
21080, -225428
21100, -225457
21110, -225481
21130, -225507
21150, -225529
21160, -225555
21180, -225577
21200, -225599
21210, -225617
21230, -225637
21250, -225659
21260, -225668
21280, -225669
21300, -225669
21310, -225669
21330, -225669
21350, -225669
21360, -225669
21380, -225669
21400, -225669
21410, -225669
21430, -225669
21450, -225669
21460, -225669
21480, -225669
21500, -225669
21510, -225669
21530, -225669
21550, -225669
21560, -225670
21580, -225670
21600, -225670
21610, -225670
21630, -225670
21650, -225670
21660, -225670
21680, -225670
21700, -225670
21710, -225669
21730, -225668
21750, -225665
21760, -225662
21780, -225657
21800, -225652
21810, -225645
21830, -225632
21850, -225621
21860, -225613
21880, -225605
21900, -225588
21910, -225573
21930, -225562
21950, -225547
21960, -225531
21980, -225517
22000, -225503
22010, -225488
22030, -225473
22040, -225461
22060, -225447
22080, -225430
22090, -225416
22110, -225401
22130, -225382
22140, -225368
22160, -225354
22180, -225334
22190, -225317
22210, -225302
22230, -225282
22240, -225266
22260, -225249
22280, -225228
22290, -225211
22310, -225192
22330, -225172
22340, -225157
22360, -225136
22380, -225119
22390, -225104
22410, -225083
22430, -225068
22440, -225052
22460, -225032
22480, -225016
22490, -224999
22510, -224979
22530, -224963
22540, -224943
22560, -224923
22580, -224908
22590, -224887
22610, -224869
22630, -224852
22640, -224831
22660, -224815
22680, -224796
22690, -224776
22710, -224760
22730, -224740
22740, -224721
22760, -224704
22780, -224682
22790, -224666
22810, -224649
22830, -224627
22840, -224611
22860, -224591
22880, -224573
22890, -224556
22910, -224535
22930, -224518
22940, -224500
22960, -224478
22980, -224463
22990, -224444
23010, -224424
23030, -224408
23040, -224386
23060, -224369
23080, -224352
23090, -224331
23110, -224314
23130, -224293
23140, -224275
23160, -224259
23180, -224238
23190, -224220
23210, -224203
23230, -224181
23240, -224166
23260, -224146
23280, -224126
23290, -224110
23310, -224089
23330, -224070
23340, -224055
23360, -224033
23380, -224015
23390, -223997
23410, -223977
23430, -223961
23440, -223941
23460, -223922
23480, -223903
23490, -223883
23510, -223867
23530, -223847
23540, -223827
23560, -223812
23580, -223790
23590, -223773
23610, -223757
23630, -223734
23640, -223718
23660, -223699
23680, -223677
23690, -223663
23710, -223643
23730, -223622
23740, -223607
23760, -223585
23780, -223568
23790, -223551
23810, -223529
23830, -223511
23840, -223492
23860, -223472
23880, -223452
23890, -223430
23910, -223413
23930, -223390
23940, -223372
23960, -223354
23980, -223329
23990, -223313
24010, -223291
24030, -223270
24040, -223253
24060, -223230
24080, -223210
24090, -223190
24110, -223172
24120, -223153
24140, -223130
24160, -223112
24170, -223089
24190, -223070
24210, -223051
24220, -223028
24240, -223011
24260, -222989
24270, -222970
24290, -222951
24310, -222928
24320, -222911
24340, -222888
24360, -222869
24370, -222849
24390, -222827
24410, -222810
24420, -222787
24440, -222769
24460, -222749
24470, -222726
24490, -222707
24510, -222682
24520, -222663
24540, -222640
24560, -222619
24570, -222598
24590, -222575
24610, -222556
24620, -222531
24640, -222512
24660, -222488
24670, -222467
24690, -222444
24710, -222421
24720, -222399
24740, -222375
24760, -222353
24770, -222328
24790, -222306
24810, -222280
24820, -222258
24840, -222230
24860, -222208
24870, -222181
24890, -222160
24910, -222133
24920, -222110
24940, -222082
24960, -222060
24970, -222032
24990, -222010
25010, -221982
25020, -221962
25040, -221935
25060, -221912
25070, -221884
25090, -221862
25110, -221834
25120, -221810
25140, -221780
25160, -221756
25170, -221727
25190, -221703
25210, -221674
25220, -221650
25240, -221622
25260, -221595
25270, -221569
25290, -221543
25310, -221516
25320, -221489
25340, -221464
25360, -221434
25370, -221411
25390, -221382
25410, -221358
25420, -221329
25440, -221305
25460, -221275
25470, -221251
25490, -221223
25510, -221196
25520, -221171
25540, -221146
25560, -221117
25570, -221091
25590, -221065
25610, -221035
25620, -221012
25640, -220983
25660, -220959
25670, -220930
25690, -220906
25710, -220875
25720, -220853
25740, -220824
25760, -220797
25770, -220772
25790, -220747
25810, -220718
25820, -220694
25840, -220667
25860, -220638
25870, -220614
25890, -220586
25910, -220560
25920, -220533
25940, -220507
25960, -220474
25970, -220450
25990, -220420
26010, -220389
26020, -220365
26040, -220335
26060, -220306
26070, -220277
26090, -220252
26110, -220219
26120, -220194
26140, -220168
26160, -220136
26170, -220113
26190, -220082
26200, -220056
26220, -220025
26240, -219999
26250, -219968
26270, -219941
26290, -219913
26300, -219883
26320, -219857
26340, -219827
26350, -219802
26370, -319772
26390, -319746
26400, -319717
26420, -319687
26440, -319660
26450, -319631
26470, -319605
26490, -319574
26500, -319548
26520, -319518
26540, -319489
26550, -319463
26570, -319434
26590, -319407
26600, -319376
26620, -319352
26640, -319321
26650, -319294
26670, -319265
26690, -319236
26700, -319208
26720, -319175
26740, -319148
26750, -319116
26770, -319085
26790, -319057
26800, -319025
26820, -318997
26840, -318966
26850, -318936
26870, -318907
26890, -318874
26900, -318848
26920, -318816
26940, -318786
26950, -318758
26970, -318726
26990, -318698
27000, -318666
27020, -318637
27040, -318608
27050, -318576
27070, -318549
27090, -318518
27100, -318488
27120, -318459
27140, -318427
27150, -318399
