Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10477920, -4558824, -34700348, 68832, 232659, -152286,15392, 
0x00000000, -10469675, -4557707, -34775052, 69105, 233012, -152640,15538, 
0x00000000, -10483856, -4568631, -34823968, 69172, 233572, -152326,15680, 
0x00000000, -10488377, -4561276, -34880096, 69010, 233793, -152376,15821, 
0x00000000, -10472144, -4557566, -34941236, 68994, 234121, -152299,15963, 
0x00000000, -10452523, -4543358, -34989996, 69291, 234586, -152234,16102, 
0x00000000, -10465284, -4557509, -35027308, 69251, 234725, -152436,16243, 
0x00000000, -10464934, -4572805, -35072340, 69236, 235528, -152599,16385, 
0x00000000, -10459747, -4583125, -35132000, 69495, 235465, -152627,16528, 
0x00000000, -10459573, -4568156, -35180200, 69554, 235870, -152581,16668, 
0x00000000, -10449348, -4596578, -35234176, 69419, 236185, -152471,16809, 
0x00000000, -10461856, -4580641, -35310852, 69591, 237097, -152558,16952, 
0x00000000, -10446674, -4587051, -35357184, 69618, 237270, -152455,17100, 
0x00000000, -10436195, -4573567, -35425416, 69760, 237611, -152373,17244, 
0x00000000, -10440548, -4558971, -35493832, 70092, 238067, -152390,17385, 
0x00000000, -10446743, -4586265, -35533068, 70031, 238449, -152591,17527, 
0x00000000, -10426821, -4646490, -35567632, 69704, 238704, -152857,17678, 
0x00000000, -10441629, -4719447, -35614136, 69966, 239311, -153573,17817, 
0x00000000, -10474373, -4792097, -35576840, 69877, 239473, -154097,17963, 
0x00000000, -10485727, -4834519, -35549032, 69943, 239591, -154487,18122, 
0x00000000, -10502962, -4811423, -35516968, 70812, 240165, -154086,18270, 
0x00000000, -10506882, -4821029, -35510400, 71069, 240969, -154309,18413, 
0x00000000, -10568655, -4867571, -35488108, 71380, 241312, -154862,18557, 
0x00000000, -10635371, -4927527, -35485824, 72010, 241500, -155426,18700, 
0x00000000, -10646278, -4866714, -35444672, 73176, 242100, -154975,18843, 
0x00000000, -10560261, -4766565, -35459872, 73749, 242674, -153862,18984, 
0x00000000, -10548192, -4773166, -35486008, 74147, 243220, -153788,19127, 
0x00000000, -10535187, -4803017, -35666784, 75294, 245023, -154478,19271, 
0x00000000, -10506586, -4771693, -35738924, 75854, 246117, -153817,19414, 
0x00000000, -10514245, -4764264, -35777684, 76781, 247606, -153596,19561, 
0x00000000, -10476933, -4764488, -35807784, 77010, 247923, -153776,19703, 
0x00000000, -10479186, -4763007, -35827368, 77786, 249003, -153973,19847, 
0x00000000, -10478690, -4790474, -35848992, 78569, 249910, -153971,20004, 
0x00000000, -10482996, -4815849, -35835184, 79594, 250897, -154049,20150, 
0x00000000, -10494981, -4819536, -35842120, 80593, 251853, -154094,20294, 
0x00000000, -10512875, -4820396, -35815532, 81455, 252782, -153945,20438, 
0x00000000, -10512014, -4813415, -35744072, 81664, 252633, -154127,20585, 
0x00000000, -10509427, -4817157, -35689692, 82318, 252667, -154313,20728, 
0x00000000, -10526485, -4774371, -35651580, 82799, 253068, -153724,20876, 
0x00000000, -10531789, -4747804, -35684336, 82722, 253204, -153802,21019, 
0x00000000, -10536880, -4741495, -35684988, 83040, 253269, -153559,21165, 
0x00000000, -10533732, -4739184, -35700752, 83201, 253358, -153743,21308, 
0x00000000, -10551409, -4708019, -35737492, 83327, 253622, -153395,21448, 
0x00000000, -10589921, -4663475, -35807528, 83190, 254601, -152782,21598, 
0x00000000, -10622972, -4580141, -35901392, 83792, 255269, -152086,21740, 
0x00000000, -10655803, -4518952, -35942964, 84102, 256046, -151642,21885, 
0x00000000, -10675982, -4496874, -35967428, 84169, 255658, -151592,22028, 
0x00000000, -10695618, -4480068, -35978280, 84179, 255990, -151465,22178, 
0x00000000, -10711295, -4462331, -35998184, 84229, 256337, -151468,22437, 
0x00000000, -10726120, -4437873, -36002752, 84194, 256204, -151276,22580, 
0x00000000, -10733197, -4398746, -36027980, 84483, 256462, -150572,22724, 
0x00000000, -10762510, -4350189, -36064100, 84560, 256709, -150295,22868, 
0x00000000, -10825047, -4330789, -36104084, 84564, 256960, -150217,23024, 
0x00000000, -10870208, -4298184, -36121576, 84156, 256960, -149946,23171, 
0x00000000, -10919895, -4290422, -36132724, 84355, 256961, -150287,23313, 
0x00000000, -10957260, -4285585, -36131512, 84064, 256994, -150589,23457, 
0x00000000, -10997646, -4266941, -36127172, 84021, 256915, -150391,23605, 
0x00000000, -11033754, -4261066, -36107956, 83673, 256365, -150433,23747, 
0x00000000, -11044320, -4279080, -36091912, 83283, 255919, -150693,23894, 
0x00000000, -10958390, -4389291, -36074816, 82317, 254537, -151237,24041, 
0x00000000, -11006467, -4316289, -36075928, 82204, 254708, -150989,24184, 
0x00000000, -11051291, -4290749, -36075144, 82504, 254704, -150704,24327, 
0x00000000, -11081598, -4269174, -36067356, 82323, 254499, -150957,24471, 
0x00000000, -11118842, -4266649, -36053332, 82161, 254341, -150592,24617, 
0x00000000, -11130069, -4258719, -36038432, 82209, 254125, -150684,24757, 
0x00000000, -11161337, -4257166, -36038052, 82029, 253935, -151081,24897, 
0x00000000, -11186149, -4250883, -36037004, 81995, 254094, -150580,25046, 
0x00000000, -11220936, -4234408, -36014768, 81779, 253929, -150664,25189, 
0x00000000, -11251566, -4249413, -36008320, 81647, 253613, -150798,25335, 
0x00000000, -11285965, -4324082, -35976136, 81069, 253016, -151831,25477, 
0x00000000, -11301886, -4337138, -35997744, 80646, 252748, -151792,25627, 
0x00000000, -11326415, -4358263, -36008188, 80425, 252655, -152088,25768, 
0x00000000, -11339976, -4358527, -36014232, 80484, 252571, -152110,25910, 
0x00000000, -11341906, -4362249, -36003724, 80156, 252339, -152533,26051, 
0x00000000, -11339863, -4375163, -35988648, 79903, 251604, -152350,26196, 
0x00000000, -11337466, -4349052, -35987240, 79479, 251241, -152148,26348, 
0x00000000, -11351488, -4377784, -35917248, 79002, 250558, -152449,26489, 
0x00000000, -11350160, -4390211, -35887488, 78938, 250152, -152497,26634, 
0x00000000, -11340826, -4396578, -35861976, 78814, 249968, -152460,26777, 
0x00000000, -11339598, -4377413, -35858796, 78827, 249775, -152158,26918, 
0x00000000, -11344095, -4366214, -35839060, 78846, 249573, -152148,27060, 
0x00000000, -11361566, -4379150, -35823904, 78663, 249159, -152319,27201, 
0x00000000, -11353898, -4375144, -35792220, 78543, 248999, -152277,27343, 
0x00000000, -11378948, -4389792, -35788512, 78284, 248821, -152217,27490, 
0x00000000, -11340683, -4376672, -35774988, 78255, 248460, -152169,27636, 
0x00000000, -11310757, -4380694, -35744032, 77636, 247621, -152060,27785, 
0x00000000, -11298944, -4388841, -35731204, 77399, 247148, -152303,27926, 
0x00000000, -11310916, -4394066, -35739768, 77052, 246803, -152104,28076, 
0x00000000, -11285774, -4385020, -35694060, 76844, 246267, -152095,28234, 
0x00000000, -11245643, -4349814, -35671884, 76689, 245741, -151791,28384, 
0x00000000, -11216855, -4314793, -35650600, 76244, 245222, -151238,28530, 
0x00000000, -11222112, -4304843, -35661516, 76356, 244995, -151198,28678, 
0x00000000, -11227619, -4312989, -35644404, 75820, 245010, -151254,28818, 
0x00000000, -11257798, -4329677, -35652192, 75580, 244595, -151356,28960, 
0x00000000, -11211242, -4318206, -35621816, 75155, 244329, -150991,29111, 
0x00000000, -11180231, -4320004, -35603096, 75083, 243864, -151111,29254, 
0x00000000, -11135504, -4288408, -35608584, 74958, 243834, -150703,29395, 
0x00000000, -11102143, -4274761, -35596392, 74860, 243457, -150521,29536, 
0x00000000, -11061646, -4250176, -35596408, 74940, 242998, -150469,29689, 
0x00000000, -11039825, -4241044, -35587176, 74654, 242770, -150108,29831, 
0x00000000, -11032602, -4241276, -35596508, 75001, 242439, -150253,29978, 
0x00000000, -11033827, -4273717, -35620564, 74276, 242093, -150510,30119, 
0x00000000, -10969870, -4247528, -35631844, 73788, 241324, -150208,30269, 
0x00000000, -10939169, -4213907, -35643528, 73716, 241491, -149886,30412, 
0x00000000, -11010608, -4254966, -35625488, 73772, 241396, -150465,30555, 
0x00000000, -11060044, -4272194, -35572564, 73700, 240827, -150461,30697, 
0x00000000, -11097716, -4276451, -35536220, 73664, 240477, -150534,30844, 
0x00000000, -11051802, -4248758, -35509376, 73453, 240211, -150349,30987, 
0x00000000, -11041706, -4250134, -35471956, 73496, 239892, -150539,31216, 
0x00000000, -11006025, -4239553, -35394024, 73266, 239127, -150375,31358, 
0x00000000, -10997442, -4259640, -35354396, 73071, 238951, -150328,31499, 
0x00000000, -11020508, -4291286, -35324544, 72871, 238700, -150548,31644, 
0x00000000, -11021499, -4309743, -35326216, 73085, 238752, -150750,31791, 
0x00000000, -11094603, -4393876, -35250900, 72795, 238266, -151541,31938, 
0x00000000, -11098106, -4404588, -35216120, 72794, 238010, -151852,32080, 
0x00000000, -11087220, -4395026, -35152016, 72476, 237660, -151753,32233, 
0x00000000, -11067005, -4393555, -35088424, 72469, 237254, -151256,32377, 
