Status, Fx, Fy, Fz, Tx, Ty, Tz, Time
 0x00000000, -12167932, -5123306, -27481432, 77433, 186328, -264191,11351.4528809
 0x00000000, -12155732, -5122270, -27489928, 77323, 186514, -264458,11427.369873
 0x00000000, -12165438, -5125453, -27487676, 77071, 186175, -264676,11502.9379883
 0x00000000, -12163191, -5120911, -27494868, 77167, 186395, -264290,11578.7839355
 0x00000000, -12172159, -5125570, -27491876, 77269, 186584, -264129,11654.2709961
 0x00000000, -12159639, -5130639, -27495920, 77300, 186345, -264665,11732.4709473
 0x00000000, -12162885, -5125940, -27483874, 77420, 186299, -264283,11808.4689941
 0x00000000, -12164022, -5121785, -27489640, 77322, 186376, -264329,11884.2729492
 0x00000000, -12173781, -5121427, -27498528, 77219, 186604, -264305,11959.7929688
 0x00000000, -12165574, -5118441, -27491236, 77517, 186474, -264202,12035.8640137
 0x00000000, -12167206, -5121960, -27498672, 77414, 186512, -264245,12111.6950684
 0x00000000, -12162858, -5118354, -27506844, 77494, 186445, -264239,12187.5268555
 0x00000000, -12162931, -5115909, -27500274, 77392, 186268, -264398,12263.630127
 0x00000000, -12165891, -5121850, -27494020, 77568, 186295, -264629,12340.065918
 0x00000000, -12161755, -5118595, -27484784, 77244, 186030, -264294,12416.2128906
 0x00000000, -12164723, -5123363, -27508140, 77451, 186524, -264356,12491.9631348
 0x00000000, -12174158, -5123855, -27494866, 77141, 186340, -264299,12567.4919434
 0x00000000, -12168812, -5127123, -27500524, 77340, 186594, -264341,12643.5849609
 0x00000000, -12176979, -5120984, -27495984, 77375, 186658, -264233,12720.0549316
 0x00000000, -12165281, -5124671, -27491412, 77602, 186173, -264412,12798.5410156
 0x00000000, -12161772, -5122588, -27493970, 77284, 186236, -264445,12874.0759277
 0x00000000, -12160570, -5122501, -27505012, 77291, 186343, -264552,12949.6149902
 0x00000000, -12167092, -5129348, -27501716, 77138, 186175, -264581,13025.217041
 0x00000000, -12172728, -5126492, -27499048, 77342, 186429, -264267,13100.6450195
 0x00000000, -12167221, -5117821, -27494920, 77375, 186460, -264389,13176.1469727
 0x00000000, -12163769, -5128670, -27482848, 77171, 186218, -264199,13251.9147949
 0x00000000, -12163579, -5120062, -27496468, 77423, 186206, -264127,13327.7548828
 0x00000000, -12169205, -5116241, -27479704, 77480, 186498, -264101,13403.5720215
 0x00000000, -12173192, -5123822, -27484444, 77373, 186166, -264556,13479.072998
 0x00000000, -12158822, -5131781, -27481248, 77528, 186244, -264381,13554.9421387
 0x00000000, -12162739, -5126088, -27481740, 77380, 186223, -264256,13630.9338379
 0x00000000, -12169979, -5124378, -27482300, 77462, 186214, -264290,13706.5500488
 0x00000000, -12169723, -5117874, -27482240, 77138, 186296, -264430,13784.8769531
 0x00000000, -12163722, -5121784, -27478092, 77269, 186103, -264517,13864.1550293
 0x00000000, -12168462, -5126759, -27481204, 77243, 186467, -264298,13939.8259277
 0x00000000, -12164788, -5119407, -27475388, 77378, 186241, -264622,14015.980957
 0x00000000, -12166956, -5126083, -27474570, 77331, 186160, -264466,14091.9580078
 0x00000000, -12166192, -5121392, -27468164, 77360, 186203, -264356,14167.2277832
 0x00000000, -12173619, -5120714, -27471884, 77349, 186344, -264479,14242.5119629
 0x00000000, -12170827, -5126097, -27479316, 77064, 186321, -264183,14318.8049316
 0x00000000, -12169324, -5117801, -27467478, 77239, 186307, -264324,14394.1240234
 0x00000000, -12164062, -5124198, -27481804, 77455, 186131, -264492,14469.6831055
 0x00000000, -12170022, -5117593, -27474022, 77426, 186189, -264420,14545.9899902
 0x00000000, -12177078, -5123121, -27473896, 77568, 186235, -264412,14621.3039551
 0x00000000, -12152204, -5140562, -27508068, 77453, 186006, -264392,14705.3710938
 0x00000000, -12171657, -5115669, -27515328, 77344, 186207, -264503,14782.1289062
 0x00000000, -12160481, -5119477, -27456752, 77588, 186175, -264367,14860.0388184
 0x00000000, -12147722, -5116422, -27453522, 77485, 186157, -264557,14936.1669922
 0x00000000, -12177275, -5123679, -27467900, 77644, 186390, -264456,15011.940918
 0x00000000, -12173110, -5125542, -27454184, 77339, 186203, -264466,15087.5129395
 0x00000000, -12160510, -5128443, -27460040, 77425, 185912, -264426,15163.3007812
 0x00000000, -12168590, -5122513, -27467934, 77615, 186090, -264285,15240.4240723
 0x00000000, -12161272, -5116909, -27459708, 77464, 185966, -264346,15315.9328613
 0x00000000, -12194211, -5130021, -27469188, 77490, 186244, -264352,15392.1501465
 0x00000000, -12166609, -5120681, -27478984, 77445, 186014, -264576,15468.6938477
 0x00000000, -12160569, -5128754, -27468476, 77490, 185958, -264316,15544.9758301
 0x00000000, -12166717, -5126950, -27475508, 77517, 186070, -264290,15621.0090332
 0x00000000, -12180180, -5120306, -27452280, 77585, 186166, -264280,15697.1589355
 0x00000000, -12178289, -5132168, -27476744, 77469, 186292, -264375,15773.4790039
 0x00000000, -12163521, -5118469, -27455868, 77736, 186093, -264254,15849.5087891
 0x00000000, -12162421, -5122394, -27456816, 77425, 186083, -264188,15927.4609375
 0x00000000, -12169983, -5124025, -27457702, 77564, 186245, -264234,16004.0019531
 0x00000000, -12183034, -5131225, -27422006, 77514, 186265, -264195,16082.4169922
 0x00000000, -12165585, -5122699, -27465164, 77531, 186153, -264458,16158.0449219
 0x00000000, -12154868, -5125372, -27475920, 77562, 186067, -264534,16234.4719238
 0x00000000, -12178696, -5129209, -27467632, 77413, 186257, -264748,16311.0959473
 0x00000000, -12174220, -5124820, -27436624, 77742, 186275, -264166,16387.5419922
 0x00000000, -12168746, -5126987, -27473674, 77394, 186310, -264722,16463.5400391
 0x00000000, -12166106, -5121554, -27463696, 77761, 186295, -264310,16539.1608887
 0x00000000, -12163780, -5122107, -27452610, 77636, 186088, -264488,16615.2751465
 0x00000000, -12172912, -5129412, -27451314, 77692, 186178, -264367,16691.4179688
 0x00000000, -12167326, -5120458, -27445338, 77712, 186194, -264327,16767.9309082
 0x00000000, -12172970, -5126446, -27447112, 77488, 186031, -264356,16844.0339355
 0x00000000, -12166151, -5128579, -27437276, 77501, 186320, -264461,16920.0219727
 0x00000000, -12169108, -5129606, -27446972, 77200, 186305, -264441,16998.0178223
 0x00000000, -12169851, -5126462, -27456296, 77595, 186046, -264488,17073.8039551
 0x00000000, -12165338, -5123326, -27463436, 77635, 186071, -264480,17149.1008301
 0x00000000, -12165833, -5124021, -27436918, 77596, 186108, -264424,17225.7497559
 0x00000000, -12161217, -5126271, -27454980, 77605, 186188, -264564,17301.2807617
 0x00000000, -12172324, -5121618, -27450848, 77806, 185973, -264386,17377.177002
 0x00000000, -12159060, -5128920, -27441848, 77804, 186090, -264628,17452.7038574
 0x00000000, -12165208, -5122187, -27428196, 77791, 186237, -264105,17528.2680664
 0x00000000, -12172378, -5131463, -27440780, 77586, 186043, -264387,17603.8759766
 0x00000000, -12166502, -5122784, -27435632, 77939, 186106, -264447,17680.3088379
 0x00000000, -12171157, -5117557, -27430176, 77769, 185994, -264554,17755.7919922
 0x00000000, -12166796, -5124572, -27439248, 77715, 186221, -264245,17831.6210938
 0x00000000, -12171358, -5129468, -27433068, 77866, 186232, -264440,17907.2409668
 0x00000000, -12170919, -5131163, -27429134, 77754, 186298, -264415,17984.7138672
 0x00000000, -12164315, -5129173, -27422200, 78043, 186084, -264552,18064.6689453
 0x00000000, -12164690, -5123723, -27423076, 77990, 186023, -264260,18140.6379395
 0x00000000, -12161619, -5126586, -27429488, 77840, 185965, -264297,18217.197998
 0x00000000, -12173819, -5129203, -27418412, 77835, 186407, -264466,18292.796875
 0x00000000, -12175858, -5119036, -27413420, 78043, 186052, -264529,18368.1347656
 0x00000000, -12168755, -5123084, -27420192, 78080, 186454, -264605,18443.4150391
 0x00000000, -12166264, -5122030, -27428910, 78145, 186102, -264445,18518.7609863
 0x00000000, -12167886, -5124073, -27423086, 78219, 186191, -264292,18594.5529785
 0x00000000, -12174402, -5123945, -27415660, 78027, 186223, -264328,18670.4379883
 0x00000000, -12170720, -5125854, -27427656, 77759, 186171, -264502,18746.0429688
 0x00000000, -12170009, -5130032, -27413330, 77904, 186329, -264346,18821.3591309
 0x00000000, -12164784, -5129502, -27423012, 78065, 186320, -264453,18897.3679199
 0x00000000, -12166245, -5127116, -27409232, 77824, 186305, -264413,18972.7370605
 0x00000000, -12170372, -5132311, -27419622, 77849, 186078, -264301,19051.5678711
 0x00000000, -12170295, -5129666, -27417308, 77705, 186255, -264564,19128.2041016
 0x00000000, -12171220, -5126735, -27414242, 78048, 186213, -264567,19203.8239746
 0x00000000, -12162722, -5128394, -27416660, 77874, 186147, -264220,19280.3378906
 0x00000000, -12167877, -5123731, -27423176, 78053, 186126, -264559,19355.8640137
 0x00000000, -12168649, -5119419, -27428796, 78256, 186107, -264344,19431.1530762
 0x00000000, -12169025, -5128589, -27418438, 78070, 186095, -264484,19506.4328613
 0x00000000, -12171879, -5128353, -27425258, 77819, 186276, -264748,19581.8369141
 0x00000000, -12162650, -5131158, -27426116, 78157, 186167, -264287,19657.4208984
 0x00000000, -12172790, -5127939, -27410360, 78180, 186150, -264378,19732.9328613
 0x00000000, -12166988, -5126799, -27420468, 78065, 186312, -264510,19808.5349121
 0x00000000, -12172324, -5125959, -27425604, 78141, 186399, -264337,19884.1169434
 0x00000000, -12169934, -5127614, -27415186, 77810, 186280, -264385,19959.6069336
 0x00000000, -12167979, -5130454, -27427336, 78121, 186316, -264240,20034.7229004
 0x00000000, -12176086, -5128502, -27419452, 77846, 186183, -264394,20112.2851562
 0x00000000, -12173127, -5122339, -27423684, 78235, 186168, -264425,20187.8608398
 0x00000000, -12172749, -5128829, -27408800, 78098, 186237, -264170,20263.2241211
 0x00000000, -12170348, -5128022, -27424032, 78124, 186234, -264373,20339.0600586
 0x00000000, -12176412, -5125079, -27419862, 78275, 186032, -264350,20454.5297852
 0x00000000, -12173248, -5119943, -27433256, 78085, 186088, -264679,20530.7089844
 0x00000000, -12171409, -5124902, -27431816, 77878, 186227, -264633,20606.5998535
 0x00000000, -12174934, -5129592, -27415840, 78346, 186253, -264265,20682.9248047
 0x00000000, -12164260, -5125423, -27418440, 78012, 185987, -264647,20759.2429199
 0x00000000, -12171934, -5130855, -27421268, 78056, 186036, -264457,20835.0849609
 0x00000000, -12162483, -5125477, -27422466, 77958, 185874, -264675,20910.9260254
 0x00000000, -12165867, -5123411, -27422472, 78233, 186160, -264266,20987.0229492
 0x00000000, -12166446, -5129380, -27419424, 78122, 186252, -264258,21063.5969238
 0x00000000, -12170060, -5131299, -27415512, 78155, 185901, -264367,21142.7160645
 0x00000000, -12171650, -5130721, -27420896, 78264, 186160, -264382,21219.7939453
