Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -11545598, -4981154, -37603140, 51757, 186754, -152131,22527, 
0x00000000, -11577253, -5017876, -37528952, 51842, 186965, -151874,22676, 
0x00000000, -11522399, -4959477, -37398568, 52268, 187200, -152054,22820, 
0x00000000, -11530133, -5017277, -37198280, 52257, 187797, -152328,22970, 
0x00000000, -11478488, -4979539, -37049776, 52514, 188269, -152064,23111, 
0x00000000, -11429151, -4944606, -36883740, 52838, 188979, -152270,23260, 
0x00000000, -11368064, -4893160, -36732768, 53135, 189538, -152691,23406, 
0x00000000, -11329830, -4850839, -36597000, 52963, 190024, -152674,23552, 
0x00000000, -11258661, -4807086, -36440480, 53002, 190597, -152919,23702, 
0x00000000, -11109905, -4630287, -36277620, 53434, 191209, -153659,23851, 
0x00000000, -11008349, -4578611, -36115296, 53645, 191643, -153741,23998, 
0x00000000, -11044186, -4616597, -35972616, 53592, 192162, -153727,24142, 
0x00000000, -11024222, -4657847, -35826188, 53902, 192454, -153504,24287, 
0x00000000, -11052579, -4644573, -35672412, 54241, 193202, -153877,24432, 
0x00000000, -11040795, -4709097, -35517372, 54775, 193808, -153162,24574, 
0x00000000, -11042040, -4677397, -35358568, 54926, 194167, -153214,24717, 
0x00000000, -11045947, -4665343, -35181776, 55440, 194608, -153371,24860, 
0x00000000, -11053142, -4706122, -35046056, 55339, 195004, -153361,25003, 
0x00000000, -11065450, -4708505, -34897780, 55457, 195317, -153162,25159, 
0x00000000, -11136461, -4757565, -34771060, 55764, 195681, -152991,25305, 
0x00000000, -11186074, -4840387, -34650880, 56216, 196082, -152518,25450, 
0x00000000, -11150923, -4772972, -34502384, 56094, 196494, -152940,25643, 
0x00000000, -11178086, -4761277, -34310900, 56625, 197158, -152890,25788, 
0x00000000, -11224381, -4814849, -34144392, 57066, 197450, -152488,25932, 
0x00000000, -11142143, -4688378, -34012212, 57262, 197491, -153038,26078, 
0x00000000, -11031024, -4621954, -33852184, 57301, 197236, -153436,26221, 
0x00000000, -11088604, -4681200, -33737656, 57538, 197033, -153169,26364, 
0x00000000, -11110645, -4721580, -33578608, 57918, 197337, -152923,26513, 
0x00000000, -11107033, -4684640, -33429548, 58196, 197702, -152986,26660, 
0x00000000, -11036930, -4616911, -33286362, 58442, 197522, -153333,26807, 
