Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10641888, -4515480, -32759520, 67997, 219397, -153325,16816, 
0x00000000, -10664651, -4494264, -32821416, 67888, 220177, -153074,16960, 
0x00000000, -10633640, -4505767, -32869668, 68170, 219958, -153121,17104, 
0x00000000, -10641339, -4474495, -32936228, 68240, 220785, -152923,17246, 
0x00000000, -10623221, -4505139, -33013314, 68197, 221512, -153371,17388, 
0x00000000, -10634425, -4468551, -33084778, 68217, 221983, -152950,17559, 
0x00000000, -10633879, -4464891, -33155664, 68329, 222592, -153002,17702, 
0x00000000, -10604212, -4506252, -33204592, 68325, 222714, -153130,17845, 
0x00000000, -10617793, -4470148, -33278400, 68412, 223133, -153071,17988, 
0x00000000, -10602057, -4487579, -33333698, 68653, 224002, -153120,18131, 
0x00000000, -10618545, -4467198, -33396028, 68671, 224429, -152919,18276, 
0x00000000, -10596336, -4500744, -33468310, 69053, 224793, -153060,18418, 
0x00000000, -10631026, -4492169, -33522598, 69186, 225501, -153248,18566, 
0x00000000, -10612614, -4498169, -33589020, 69430, 225998, -152944,18717, 
0x00000000, -10587068, -4489998, -33646856, 69796, 226449, -153046,18859, 
0x00000000, -10594255, -4478753, -33696272, 69432, 226811, -152834,19004, 
0x00000000, -10571384, -4487164, -33766240, 69977, 227203, -152976,19147, 
0x00000000, -10591108, -4482731, -33832416, 70177, 227771, -152987,19296, 
0x00000000, -10567203, -4498353, -33894920, 70373, 228125, -153062,19447, 
0x00000000, -10575956, -4482840, -33968088, 70454, 228924, -152848,19590, 
0x00000000, -10565115, -4489005, -34019572, 70669, 229315, -153066,19731, 
0x00000000, -10575987, -4458555, -34072580, 70527, 229469, -153100,19876, 
0x00000000, -10564158, -4494060, -34158796, 70651, 230255, -152926,20020, 
0x00000000, -10561974, -4515699, -34198328, 70698, 230425, -153088,20165, 
0x00000000, -10551459, -4529949, -34226544, 70661, 230757, -153370,20317, 
0x00000000, -10516895, -4541672, -34242288, 70798, 230998, -153316,20459, 
0x00000000, -10494477, -4557981, -34206596, 70826, 230788, -153224,20605, 
0x00000000, -10524637, -4600692, -34198044, 70793, 230794, -153703,20748, 
0x00000000, -10626654, -4727405, -34180504, 70657, 230999, -154941,20888, 
0x00000000, -10601886, -4736200, -34126748, 70376, 230625, -154974,21035, 
0x00000000, -10600449, -4709634, -34067292, 70511, 230618, -154825,21178, 
0x00000000, -10615957, -4680269, -34041872, 71050, 230869, -154517,21319, 
0x00000000, -10625201, -4677528, -34034824, 71003, 231053, -154781,21462, 
0x00000000, -10631945, -4719529, -34032440, 71012, 231478, -154605,21605, 
0x00000000, -10658149, -4721994, -34013336, 71826, 231314, -155083,21747, 
0x00000000, -10613001, -4691364, -33975152, 72393, 231342, -154526,21888, 
0x00000000, -10598636, -4643417, -33920344, 72323, 231160, -154088,22033, 
0x00000000, -10555487, -4675357, -34014072, 73537, 232663, -154194,22174, 
0x00000000, -10608958, -4663833, -34029264, 74516, 233228, -154471,22317, 
0x00000000, -10596555, -4658973, -34032488, 74691, 233504, -154287,22466, 
0x00000000, -10598491, -4659300, -34023120, 74961, 233687, -154262,22611, 
0x00000000, -10584902, -4657219, -34042408, 75281, 234204, -154225,22754, 
0x00000000, -10592973, -4665506, -34023972, 75750, 234426, -154193,22898, 
0x00000000, -10569104, -4667095, -34024628, 76243, 234938, -154407,23040, 
0x00000000, -10566461, -4689965, -34030192, 76348, 234915, -154722,23182, 
0x00000000, -10585387, -4688040, -34012472, 76953, 235635, -154453,23323, 
0x00000000, -10582938, -4683703, -33955848, 77283, 235596, -154222,23464, 
0x00000000, -10585734, -4670982, -33883124, 77459, 235403, -154158,23620, 
0x00000000, -10574971, -4642560, -33908156, 77566, 235707, -153829,23764, 
0x00000000, -10565592, -4633028, -33927112, 77877, 235987, -153887,23908, 
0x00000000, -10564588, -4625921, -33933152, 78016, 236078, -153959,24052, 
0x00000000, -10574930, -4627004, -33933248, 77913, 235969, -153878,24194, 
0x00000000, -10572499, -4604256, -33944520, 78165, 236089, -153741,24337, 
0x00000000, -10564538, -4614463, -33945816, 77985, 235913, -153556,24486, 
0x00000000, -10562678, -4604674, -33957300, 78194, 236174, -153728,24630, 
0x00000000, -10554923, -4614799, -33949604, 78075, 236281, -153319,24773, 
0x00000000, -10562871, -4614522, -33957584, 77964, 236186, -153496,24917, 
0x00000000, -10590194, -4613392, -33972032, 78087, 236283, -153597,25061, 
0x00000000, -10544452, -4516322, -34016764, 78247, 237041, -152529,25204, 
0x00000000, -10560161, -4476817, -34070672, 78323, 237635, -152061,25348, 
0x00000000, -10603135, -4447212, -34103848, 78633, 237701, -152074,25573, 
0x00000000, -10705081, -4408116, -34169372, 79024, 238219, -152286,25716, 
0x00000000, -10799709, -4431681, -34171968, 78865, 238396, -152589,25858, 
0x00000000, -10787432, -4429601, -34187692, 78203, 237839, -152726,26003, 
0x00000000, -10806735, -4426171, -34156288, 77396, 237200, -152655,26146, 
0x00000000, -10905734, -4363613, -34179032, 77487, 237025, -152162,26288, 
0x00000000, -11014433, -4380877, -34160960, 77256, 236888, -153226,26431, 
0x00000000, -11038645, -4390455, -34138552, 76562, 236201, -153209,26574, 
0x00000000, -11036828, -4380210, -34123848, 76086, 235209, -153040,26718, 
0x00000000, -11049771, -4393961, -34103040, 75968, 234758, -153062,26861, 
0x00000000, -11014533, -4409083, -34122128, 74734, 234258, -152947,27005, 
0x00000000, -11032274, -4422037, -34121776, 74756, 233814, -153034,27148, 
0x00000000, -11049845, -4404849, -34140672, 74438, 233565, -153121,27293, 
0x00000000, -11074164, -4430197, -34097340, 73998, 232670, -153224,27435, 
0x00000000, -11029889, -4394511, -34093696, 73310, 231932, -153117,27579, 
0x00000000, -11043943, -4421363, -34044632, 72716, 231305, -153068,27721, 
0x00000000, -11051231, -4430296, -34041448, 72734, 230957, -153237,27864, 
0x00000000, -11048572, -4441653, -34017228, 72325, 230342, -153417,28007, 
0x00000000, -11085832, -4463470, -33997112, 72172, 229991, -153689,28148, 
0x00000000, -11062788, -4480166, -33945464, 71606, 229312, -153912,28290, 
0x00000000, -11076293, -4478933, -33948912, 71973, 229153, -153687,28436, 
0x00000000, -11013559, -4398680, -33955720, 71718, 229171, -152933,28587, 
0x00000000, -10998996, -4373108, -33961040, 71949, 228903, -152724,28730, 
0x00000000, -10966619, -4343532, -33988900, 71964, 228974, -152387,28876, 
0x00000000, -10959859, -4317854, -34049624, 71617, 229107, -152236,29018, 
0x00000000, -11014429, -4321273, -34066768, 71409, 229388, -152503,29164, 
0x00000000, -10974981, -4311460, -34106916, 70993, 229448, -152140,29320, 
0x00000000, -10918118, -4298912, -34125872, 70380, 229714, -151663,29473, 
0x00000000, -10878084, -4314773, -34152188, 70173, 229816, -152031,29618, 
0x00000000, -10831933, -4322763, -34168804, 70141, 229341, -151944,29767, 
0x00000000, -10804805, -4329546, -34183248, 70286, 229157, -152042,29916, 
