, -199357
18740, -201108
18760, -201072
18780, -201032
18790, -200992
18810, -200953
18830, -200915
18840, -200876
18860, -200835
18880, -200794
18890, -200757
18910, -200720
18930, -200680
18940, -200639
18960, -200599
18980, -200560
18990, -200523
19010, -200482
19030, -200443
19040, -200404
19060, -200367
19080, -200328
19090, -200287
19110, -200247
19130, -200207
19140, -200168
19160, -200129
19180, -200090
19190, -200053
19210, -200014
19230, -299974
19240, -299935
19260, -299892
19280, -299854
19290, -299817
19310, -299781
19330, -299751
19340, -299725
19360, -299695
19380, -299672
19390, -299666
19410, -299665
19430, -299665
19440, -299664
19460, -299664
19480, -299664
19490, -299664
19510, -299664
19530, -299664
19540, -299664
19560, -299664
19580, -299664
19590, -299664
19610, -299664
19630, -299664
19640, -299664
19660, -299664
19680, -299664
19690, -299664
19710, -299664
19730, -299663
19740, -299663
19760, -299663
19780, -299663
19790, -299663
19810, -299663
19830, -299663
19840, -299663
19860, -299663
19880, -299663
19890, -299663
19910, -299663
19930, -299663
19940, -299663
19960, -299663
19980, -299663
19990, -299663
20010, -299663
20030, -299663
20040, -299663
20060, -299663
20080, -299663
20090, -299663
20110, -299662
20130, -299662
20140, -299662
20160, -299662
20180, -299662
20190, -299662
20210, -299662
20220, -299662
20240, -299662
20260, -299662
20270, -299662
20290, -299662
20310, -299662
20320, -299662
20340, -299662
20360, -299662
20370, -299662
20390, -299662
20410, -299662
