Status,Fx,Fy,Fz,Tx,Ty,Tz,time
0x00000000, -10809730, -4213053, -33396106, 64423, 217419, -167202,21275, 
0x00000000, -10824742, -4225924, -33350944, 64406, 217124, -167447,21419, 
0x00000000, -10808312, -4200757, -33224320, 64295, 216018, -167337,21561, 
0x00000000, -10817539, -4254769, -33146304, 64109, 215709, -167572,21702, 
0x00000000, -10816476, -4266708, -33035278, 63829, 214616, -167588,21843, 
0x00000000, -10776530, -4263083, -32901204, 63627, 213534, -167523,21992, 
0x00000000, -10764582, -4237351, -32764824, 63503, 212150, -167346,22132, 
0x00000000, -10725942, -4190444, -32620108, 63236, 211203, -167004,22277, 
0x00000000, -10744624, -4163324, -32444404, 63164, 209675, -166698,22417, 
0x00000000, -10722365, -4163189, -32306176, 62834, 208521, -166960,22558, 
0x00000000, -10710084, -4181398, -32203656, 62615, 207595, -166772,22698, 
0x00000000, -10692253, -4146044, -32063604, 62609, 206682, -166698,22840, 
0x00000000, -10685978, -4165739, -31977842, 62225, 205923, -166736,22984, 
0x00000000, -10674744, -4182318, -31901456, 61144, 205690, -166854,23123, 
0x00000000, -10668502, -4171830, -31819068, 61366, 204974, -166768,23265, 
0x00000000, -10662466, -4174017, -31748696, 61433, 204230, -166617,23411, 
0x00000000, -10662717, -4156022, -31680550, 61521, 203743, -166416,23552, 
0x00000000, -10644047, -4166860, -31515924, 61378, 202733, -166877,23694, 
0x00000000, -10647852, -4163815, -31577880, 61667, 202924, -166620,23841, 
0x00000000, -10634197, -4168998, -31499346, 61379, 202528, -166628,23991, 
0x00000000, -10635614, -4164446, -31472298, 61370, 202326, -166676,24132, 
0x00000000, -10636117, -4163163, -31471280, 61307, 202400, -166649,24277, 
0x00000000, -10636586, -4158031, -31480172, 61397, 202517, -166540,24423, 
0x00000000, -10635920, -4158698, -31468574, 61394, 202383, -166505,24564, 
0x00000000, -10626647, -4151653, -31474110, 61397, 202531, -166540,24709, 
0x00000000, -10628470, -4157467, -31476702, 61219, 202473, -166579,24850, 
0x00000000, -10626787, -4153985, -31465682, 61462, 202640, -166480,24992, 
0x00000000, -10632839, -4160579, -31472960, 61265, 202764, -166649,25134, 
0x00000000, -10634462, -4159691, -31461132, 61419, 202814, -166440,25277, 
0x00000000, -10628888, -4169521, -31456788, 61189, 202548, -166590,25420, 
0x00000000, -10627490, -4160540, -31458544, 61487, 202978, -166325,25565, 
0x00000000, -10631876, -4151643, -31455972, 61447, 202711, -166836,25706, 
0x00000000, -10625418, -4151324, -31451620, 61610, 202674, -166620,25847, 
0x00000000, -10635162, -4158946, -31446038, 61459, 203031, -166792,25989, 
0x00000000, -10622030, -4152092, -31449316, 61415, 202618, -166517,26132, 
0x00000000, -10630303, -4158773, -31451120, 61132, 202712, -166608,26276, 
0x00000000, -10630783, -4157071, -31446910, 61347, 202818, -166549,26427, 
0x00000000, -10629738, -4165404, -31440904, 61486, 202837, -166685,26573, 
0x00000000, -10636178, -4155187, -31432392, 61497, 202933, -166622,26719, 
0x00000000, -10635453, -4161530, -31441944, 61609, 202790, -166850,26861, 
0x00000000, -10637300, -4154802, -31436830, 61483, 203109, -166513,27001, 
0x00000000, -10628792, -4156683, -31431176, 61524, 202949, -166600,27143, 
0x00000000, -10628853, -4157812, -31434504, 61531, 203127, -166343,27284, 
0x00000000, -10630407, -4158201, -31433384, 61436, 202879, -166456,27427, 
0x00000000, -10623973, -4158261, -31427764, 61349, 202949, -166607,27573, 
0x00000000, -10633435, -4157490, -31425624, 61393, 203063, -166664,27715, 
0x00000000, -10625698, -4153588, -31426928, 61518, 203054, -166661, 
